|requirement|description|
|-|-|
|FRS_TESO_FISHER_010000|ПО должно перемещать персонажа к потенциальному месту лунки.|
|FRS_TESO_FISHER_010100|Определить текущее положение персонажа. Необходимо по вызову функции получить координаты текущего положения персонажа в виде пары значений типа float.|
|FRS_TESO_FISHER_010101|Определить положение и размер окна ESOlocate. Данные о размере и положении окна ESOlocate должны быть распарщены из соответствующего файла и представлены в виде класса.|
|FRS_TESO_FISHER_010102|Получить изображение окна координат. Необходимо по вызову функции получить изображение окна координат  соответствующего размера и положения удовлетворяющих требованию [FRS_TESO_FISHER_010101].|
|FRS_TESO_FISHER_010103|Получить значение текущего положения персонажа показанного на изображении ([FRS_TESO_FISHER_010102]) в виде числовых значений. Координаты представленные на изображении должны быть представлены в виде пары значений типа float.|
|FRS_TESO_FISHER_010200|Определить положение точки назначения. Необходимо по вызову функции получить точку назначения из направленного взвешенного графа лунок.|
|FRS_TESO_FISHER_010201|Перемещение по графу. Необходимо по вызову функции перейти к соседней вершине направленного взвешенного графа. В матрице смежности необходимо увеличить вес исходной вершины на единицу и вернуть вершину назначения. ([FRS_TESO_FISHER_010202]).|
|FRS_TESO_FISHER_010202|Выбор точки назначения. Функция должна определять ближайшую смежную вершину (ребро с наименьшим весом) направленного взвешенного графа.|
|FRS_TESO_FISHER_010300|Скорректировать направление взгляда персонажа к точке назначения. Необходимо по вызову функции повернуть направление взгляда персонажа в сторону точки назначения.|
|FRS_TESO_FISHER_010301|Определить положение и размер окна YetAnotherCompass. Данные о размере и положении окна YetAnotherCompass должны быть распарщены из соответствующего файла и представлены в виде класса.|
|FRS_TESO_FISHER_010302|Получить изображение компаса. Необходимо по вызову функции получить изображение окна компаса соответствующего размера и положения удовлетворяющих требованию [FRS_TESO_FISHER_010301].|
|FRS_TESO_FISHER_010303|Определить направление стрелки компаса. Необходимо получить координату вершины компаса относительно его центра полученного с изображения ([FRS_TESO_FISHER_010302]).|
|FRS_TESO_FISHER_010304|Вычислить текущий угол поворота стрелки компаса. Функция должна вернуть угол поворота стрелки компаса относительно оси X в градусах в виде числового значения типа int.|
|FRS_TESO_FISHER_010305|Вычислить угол поворота между текущим положение персонажа и точкой назначения. Функция должна вернуть угол относительно текущего положения персонажа и оси X в градусах в виде числового значения типа int.|
|FRS_TESO_FISHER_010400|Привести персонажа к точке назначения [FRS_TESO_FISHER_010200]. Персонаж должен достичь точки назначения.|
|FRS_TESO_FISHER_010401|Начать движение. Персонаж должен начать движение по вызову соответствующей функции.|
|FRS_TESO_FISHER_010500|Скорректировать движение. В процессе движения персонажа необходимо получить его текущее положение ([FRS_TESO_FISHER_010100])направление его взгляда ([FRS_TESO_FISHER_010304]) и угол между текущим положение персонажа и точкой назначения ([FRS_TESO_FISHER_010305]). После чегонеобходимо скорректировать движение персонажа в соответствии с требованием [FRS_TESO_FISHER_010300].|
|FRS_TESO_FISHER_010501|Проверить достиг ли персонаж цели. Необходимо получить текущее положение персонажа ([FRS_TESO_FISHER_010100]) и координаты точки назначения([FRS_TESO_FISHER_010200]). Полученные значения необходимо сравнить.|
|FRS_TESO_FISHER_010502|Прекратить движение. По достижению цели необходимо прекратить движение.|
|FRS_TESO_FISHER_020000|ПО должно определятьчто в лунке есть рыба.|
|FRS_TESO_FISHER_020100|Начать ловить рыбу если в лунке есть рыба в соответствие с требованием [FRS_TESO_FISHER_030000].|
|FRS_TESO_FISHER_020101|Получить изображение статуса лункиесли это возможно. Возможные статусы- в лунке есть рыбаудочка закинутарыба клюётнет лунки.|
|FRS_TESO_FISHER_020102|Определить статус лунки.|
|FRS_TESO_FISHER_020103|Если в лунке есть рыбанеобходимо выполнить требование [FRS_TESO_FISHER_030101].|
|FRS_TESO_FISHER_020104|Если рыба клюётнеобходимо выполнить требование [FRS_TESO_FISHER_030102].|
|FRS_TESO_FISHER_020200|Если в лунке закончилась рыба нужно выполнить требование [FRS_TESO_FISHER_010000].|
|FRS_TESO_FISHER_030000|ПО должно автоматически ловить рыбу в лунке.|
|FRS_TESO_FISHER_030100|Поймать рыбу.|
|FRS_TESO_FISHER_030101|Закинуть удочку.|
|FRS_TESO_FISHER_030102|Выудить рыбу если она клюёт.|
|FRS_TESO_FISHER_030200|Определить наличие рыбы в лунке и выполнить соответствующие действия в требовании [FRS_TESO_FISHER_020000].|
